,0
0,10509861
1,10595596
2,10598990
3,10692972
4,10702066
5,11081920
6,11462018
7,8145135
8,8147703
9,8149711
10,8156517
11,8176593
12,8181075
13,8184653
14,8196621
15,8196659
16,8196669
17,8196671
18,8198267
19,8198319
20,8198345
21,8211599
22,8257034
23,8257054
24,8264534
25,8273230
26,8273592
27,8282282
28,8291712
29,8308588
30,8326944
31,8328122
32,8334780
33,8342852
34,8347238
35,8350006
36,8351602
37,8376656
38,8419708
39,8432046
40,8451629
41,8459427
42,8466525
43,8478501
44,8482121
45,8487285
46,8487297
47,8487461
48,8496980
49,8504552
50,8519102
51,8523058
52,8540084
53,8557605
54,8566459
55,8568209
56,8617151
57,8618165
58,8655993
59,8661542
60,8673172
61,8679346
62,8680284
63,8685932
64,8687500
65,8733828
66,8804804
67,9012348
68,9393680
